Algorithm,Successful Attacks,Failed Attacks,Skipped Attacks,Original Accuracy,Accuracy Under Attack,Attack Success Rate,Average Perturbed Word %,Average Number of Words per Input,Average Number of Queries
kmeans8,1,199,16,92.59%,92.13%,0.5%,1.41%,136.42,1.08
semantic similarity4,14,186,16,92.59%,86.11%,7.0%,1.73%,136.42,41.1
semantic similarity8,12,188,16,92.59%,87.04%,6.0%,1.66%,136.42,33.98
tabu2,78,122,63,76.05%,46.39%,39.0%,9.53%,18.06,39.98
tabu4,145,55,16,92.59%,25.46%,72.5%,3.5%,136.42,2878.97
tabu8,56,144,63,76.05%,54.75%,28.0%,8.08%,18.06,44.2
kmeans,1,199,16,92.59%,92.13%,0.5%,1.41%,136.42,1.08
dbscan,0,200,16,92.59%,92.59%,0.0%,nan%,136.42,1.0
tabu agglomerative ward,0,200,2,99.01%,99.01%,0.0%,nan%,135.14,1.0
tabu agglomerative single,0,200,2,99.01%,99.01%,0.0%,nan%,135.14,1.0
tabu agglomerative complete,0,500,103,82.92%,82.92%,0.0%,nan%,18.6,1.0
tabu agglomerative average,0,500,103,82.92%,82.92%,0.0%,nan%,18.6,1.0
hdbscan4,60,140,16,92.59%,64.81%,30.0%,5.82%,136.42,185.36
hdbscan8,96,104,16,92.59%,48.15%,48.0%,4.02%,136.42,557.37
dynamic,0,200,16,92.59%,92.59%,0.0%,nan%,136.42,1.67
dynamic tenure,96,104,16,92.59%,48.15%,48.0%,4.02%,136.42,557.9
dynamic tenure8,96,104,16,92.59%,48.15%,48.0%,4.02%,136.42,557.81
